,City,Latitude,Longitude,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
190,Santo Antônio do Içá,-3.1022,-67.9397,73.49,98,100,1.28,BR,1616140091
191,Hong Kong,22.2855,114.1577,82.4,54,40,6.91,HK,1616140037
192,Bayevo,53.2833,80.7667,24.51,86,97,10.04,RU,1616140094
193,Cooma,-36.2333,149.1333,57.2,100,75,9.22,AU,1616140095
194,Faya,18.3851,42.4509,73.4,21,0,8.05,SA,1616140098
195,Cidreira,-30.1811,-50.2056,69.4,79,47,6.87,BR,1616140099
196,Vryburg,-26.9566,24.7284,82.67,23,0,8.28,ZA,1616140100
197,Urucará,-2.5364,-57.76,70.77,99,100,1.21,BR,1616140102
198,Husavik,66.0449,-17.3389,50.0,62,75,16.11,IS,1616140103
199,Utrera,37.1852,-5.7809,48.99,75,20,8.05,ES,1616140105
200,Boueni,-12.9025,45.0761,87.8,74,0,4.61,YT,1616140106
201,Pryazha,61.6926,33.6216,17.6,73,75,8.95,RU,1616140107
202,Sirari,-1.2333,34.4333,79.0,46,95,6.73,TZ,1616140109
203,Sabha,27.0377,14.4283,80.13,14,0,12.28,LY,1616140110
204,Saint-Pierre,-21.3393,55.4781,84.99,70,20,26.46,RE,1616140112
205,Vorobyevka,50.6451,40.9245,30.34,85,100,8.25,RU,1616140113
206,San Quintín,30.4833,-115.95,55.33,88,0,7.65,MX,1616140068
207,Knyaze-Volkonskoye,48.4642,135.4567,33.8,60,40,4.47,RU,1616140117
208,Souillac,-20.5167,57.5167,84.2,70,40,10.36,MU,1616140118
209,Necochea,-38.5473,-58.7368,48.0,92,0,7.0,AR,1616140107
210,Cockburn Town,21.4612,-71.1419,74.84,77,19,16.51,TC,1616139903
211,Pala,9.3642,14.9046,89.1,37,71,5.48,TD,1616140123
212,Makar'yev,57.8797,43.8069,29.1,95,83,4.85,RU,1616140125
213,Severo-Kuril'sk,50.6789,156.125,30.69,95,95,11.48,RU,1616140126
214,Orbetello,42.4408,11.2196,39.99,87,0,2.3,IT,1616140127
215,Macusani,-14.0833,-70.4333,36.05,96,100,3.13,PE,1616140129
216,São Filipe,14.8961,-24.4956,70.86,75,11,7.38,CV,1616140130
217,Whitehorse,60.7161,-135.0538,12.2,62,20,10.36,CA,1616140132
218,Karasjok,69.4719,25.5112,21.2,68,100,32.21,NO,1616140133
219,Ajdabiya,30.7554,20.2263,69.8,26,94,21.41,LY,1616140129
220,Hasaki,35.7333,140.8333,59.0,62,40,11.5,JP,1616140136
221,Saint-François,46.4154,3.9054,35.01,100,90,6.91,FR,1616140137
222,Srednekolymsk,67.45,153.6833,-23.93,97,16,3.78,RU,1616140138
223,Coffs Harbour,-30.3,153.1333,70.0,83,90,10.36,AU,1616140090
224,Oltu,40.5498,42.0013,38.19,51,5,8.16,TR,1616140141
225,Gizo Government Station,-8.103,156.8419,83.66,68,76,3.58,SB,1616140142
226,Aktau,43.65,51.2,42.8,75,75,15.66,KZ,1616140144
227,Borogontsy,62.6683,131.1683,12.47,93,100,7.65,RU,1616140145
228,Aksarka,66.5606,67.7975,-7.08,95,95,14.9,RU,1616140147
229,Mahibadhoo,3.7833,72.9667,83.23,71,43,9.22,MV,1616140148
230,Haines Junction,60.7522,-137.5108,14.0,67,100,9.22,CA,1616140149
231,San-Pédro,4.7485,-6.6363,77.2,83,100,1.79,CI,1616140151
